timestamp,caching_service.cache.evicted_keys,caching_service.cache.hit_rate,auth_service.p99_latency,products_api.p99_latency,checkout_service.p99_latency,auth_db.cpu.utilization,products_db.cpu.utilization,checkout_db.cpu.utilization
2024-01-15T14:19:00,1050,57,435,580,870,68.0,68.0,68.0
2024-01-15T14:20:00,1100,55,450,600,900,70,70,70
2024-01-15T14:21:00,1150,53,465,620,930,70,70,70
2024-01-15T14:22:00,1200,51,480,640,960,70,70,70
2024-01-15T14:23:00,1250,49,495,660,990,70,70,70
2024-01-15T14:24:00,1300,47,510,680,1020,70,70,70
2024-01-15T14:25:00,1350,45,525,700,1050,70,70,70
2024-01-15T14:26:00,1400,43,540,720,1080,70,70,70
2024-01-15T14:27:00,1450,41,555,740,1110,70,70,70
2024-01-15T14:28:00,1500,39,570,760,1140,70,70,70
2024-01-15T14:29:00,1550,37,585,780,1170,70,70,70
2024-01-15T14:30:00,1600,35,600,800,1200,70,70,70
2024-01-15T14:31:00,1650,33,615,819,1230,70,70,70
2024-01-15T14:32:00,1700,31,630,840,1260,70,70,70
2024-01-15T14:33:00,1750,29,645,860,1290,70,70,70
2024-01-15T14:34:00,1800,27,660,880,1320,70,70,70
2024-01-15T14:35:00,1850,25,675,900,1350,70,70,70
2024-01-15T14:36:00,1900,23,690,919,1380,70,70,70
2024-01-15T14:37:00,1950,21,705,940,1410,70,70,70
2024-01-15T14:38:00,2000,20,720,960,1440,70,70,70
2024-01-15T14:39:00,2050,20,735,980,1470,70,70,70
2024-01-15T14:40:00,2100,20,750,1000,1500,70,70,70
2024-01-15T14:41:00,2150,20,765,1020,1530,70,70,70
2024-01-15T14:42:00,2200,20,780,1040,1560,70,70,70
2024-01-15T14:43:00,2250,20,795,1060,1590,70,70,70
2024-01-15T14:44:00,2300,20,810,1080,1620,70,70,70
2024-01-15T14:45:00,2350,20,825,1100,1650,70,70,70
2024-01-15T14:46:00,2400,20,840,1120,1680,70,70,70
2024-01-15T14:47:00,2450,20,855,1140,1710,70,70,70
2024-01-15T14:48:00,2500,20,870,1160,1740,70,70,70
2024-01-15T14:49:00,2550,20,885,1180,1770,70,70,70
2024-01-15T14:50:00,2600,20,900,1200,1800,70,70,70
2024-01-15T14:51:00,2650,20,915,1220,1830,70,70,70
2024-01-15T14:52:00,2700,20,930,1240,1860,70,70,70
2024-01-15T14:53:00,2750,20,945,1260,1890,70,70,70
2024-01-15T14:54:00,2800,20,960,1280,1920,70,70,70
2024-01-15T14:55:00,2850,20,975,1300,1950,70,70,70
2024-01-15T14:56:00,2900,20,990,1320,1980,70,70,70
2024-01-15T14:57:00,2950,20,1005,1340,2010,70,70,70
2024-01-15T14:58:00,3000,20,1020,1360,2040,70,70,70
2024-01-15T14:59:00,3050,20,1035,1380,2070,70,70,70
2024-01-15T15:00:00,100,95,1050,1400,2100,70,70,70
2024-01-15T15:01:00,0,96,151,201,301,31,31,31
2024-01-15T15:02:00,0,97,152,202,302,32,32,32
2024-01-15T15:03:00,0,98,153,203,303,33,33,33
2024-01-15T15:04:00,0,99,154,204,304,34,34,34
2024-01-15T15:05:00,0,95,155,205,305,35,35,35
2024-01-15T15:06:00,0,96,156,206,306,36,36,36
2024-01-15T15:07:00,0,97,157,207,307,37,37,37
2024-01-15T15:08:00,0,98,158,208,308,38,38,38
2024-01-15T15:09:00,0,99,159,209,309,39,39,39
2024-01-15T15:10:00,0,95,160,210,310,40,40,40
2024-01-15T15:11:00,0,96,161,211,311,41,41,41
2024-01-15T15:12:00,0,97,162,212,312,42,42,42
2024-01-15T15:13:00,0,98,163,213,313,43,43,43
2024-01-15T15:14:00,0,99,164,214,314,44,44,44
2024-01-15T15:15:00,0,95,165,215,315,45,45,45
2024-01-15T15:16:00,0,96,166,216,316,46,46,46
2024-01-15T15:17:00,0,97,167,217,317,47,47,47
2024-01-15T15:18:00,0,98,168,218,318,48,48,48
2024-01-15T15:19:00,0,99,169,219,319,49,49,49
2024-01-15T15:20:00,0,95,170,220,320,30,30,30
2024-01-15T15:21:00,0,96,171,221,321,31,31,31
2024-01-15T15:22:00,0,97,172,222,322,32,32,32
2024-01-15T15:23:00,0,98,173,223,323,33,33,33
2024-01-15T15:24:00,0,99,174,224,324,34,34,34
2024-01-15T15:25:00,0,95,175,225,325,35,35,35
2024-01-15T15:26:00,0,96,176,226,326,36,36,36
2024-01-15T15:27:00,0,97,177,227,327,37,37,37
2024-01-15T15:28:00,0,98,178,228,328,38,38,38
2024-01-15T15:29:00,0,99,179,229,329,39,39,39
2024-01-15T15:30:00,0,95,180,230,330,40,40,40
2024-01-15T15:31:00,0,96,181,231,331,41,41,41
2024-01-15T15:32:00,0,97,182,232,332,42,42,42
2024-01-15T15:33:00,0,98,183,233,333,43,43,43
2024-01-15T15:34:00,0,99,184,234,334,44,44,44
2024-01-15T15:35:00,0,95,185,235,335,45,45,45
2024-01-15T15:36:00,0,96,186,236,336,46,46,46
2024-01-15T15:37:00,0,97,187,237,337,47,47,47
2024-01-15T15:38:00,0,98,188,238,338,48,48,48
2024-01-15T15:39:00,0,99,189,239,339,49,49,49
2024-01-15T15:40:00,0,95,190,240,340,30,30,30
2024-01-15T15:41:00,0,96,191,241,341,31,31,31
2024-01-15T15:42:00,0,97,192,242,342,32,32,32
2024-01-15T15:43:00,0,98,193,243,343,33,33,33
2024-01-15T15:44:00,0,99,194,244,344,34,34,34
2024-01-15T15:45:00,0,95,195,245,345,35,35,35
2024-01-15T15:46:00,0,96,196,246,346,36,36,36
2024-01-15T15:47:00,0,97,197,247,347,37,37,37
2024-01-15T15:48:00,0,98,198,248,348,38,38,38
2024-01-15T15:49:00,0,99,199,249,349,39,39,39
2024-01-15T15:50:00,0,95,150,200,300,40,40,40
2024-01-15T15:51:00,0,96,151,201,301,41,41,41
2024-01-15T15:52:00,0,97,152,202,302,42,42,42
2024-01-15T15:53:00,0,98,153,203,303,43,43,43
2024-01-15T15:54:00,0,99,154,204,304,44,44,44
2024-01-15T15:55:00,0,95,155,205,305,45,45,45
2024-01-15T15:56:00,0,96,156,206,306,46,46,46
2024-01-15T15:57:00,0,97,157,207,307,47,47,47
2024-01-15T15:58:00,0,98,158,208,308,48,48,48
2024-01-15T15:59:00,0,99,159,209,309,49,49,49
2024-01-15T16:00:00,0,95,150,200,300,30,30,30
